№,City/ Town,Status,Population,County,Ref,date
90.,Awendo,Municipality,"16,815",Migori,[4],2023-11-26
91.,Kiminini,Town Council,"16,560",Trans Nzoia,[4],2023-11-26
92.,Moi's Bridge,Other Centre,"16,355",Uasin Gishu/Trans Nzoia,[4],2023-11-26
93.,Mazeras,Other Centre,"16,254",Kwale/Kilifi,[4],2023-11-26
94.,Malaba,Municipality,"15,581",Busia,[4],2023-11-26
95.,Makindu,Town Council,"15,038",Makueni,[4],2023-11-26
96.,Banissa,Other Centre,"14,974",Mandera,[4],2023-11-26
97.,Msambweni,Other Centre,"14,951",Kwale,[4],2023-11-26
98.,Namanga,Other Centre,"14,922",Kajiado,[4],2023-11-26
99.,Mbita,Municipality,"14,916",Homa Bay,[4],2023-11-26
100.,Isinya,Other Centre,"14,429",Kajiado,[4],2023-11-26
